verdict,confidence,name,sponsor,amount_min,amount_max,num_awards,deadline,opens,gpa_min,gpa_scale,gender,military_affiliation,employer_affiliation,income_max,renewal_years,recommendation_letters,beneficiary_scope,geo_scope,estimated_effort_minutes,need_based,merit_based,first_generation,disability,residency_required,renewable,essay_required,transcript_required,fafsa_required,counties,cities,high_schools,majors,activities,clubs_organizations,college_plan,citizenship,heritage,class_year,enrollment_status,destination_institutions,eligibility_raw,name_before_enrichment,source_url,source_org,source_county,source_file
award,0.95,Viner Community Scholarship Program,Eda & Cliff Viner Community Scholars Foundation,,10000,,,,,,,,,,4,,open,county,,True,True,,,True,True,,,,"[""Palm Beach County""]",[],[],[],"[""community service""]",[],"[""public Florida Universities or Colleges""]",[],[],[],"[""High School students""]",[],"Scholarship Program The Viner Community Scholarship Program Since 2015, Eda &amp; Cliff Viner Community Scholars Foundation , a 501(c)3, has been providing 4 year scholarships to public Florida Universities or Colleges to academically deserving High School students in South Palm Beach County who have financial needs and are community service driven. In addition to the 4 year scholarship, the foundation has established a mentoring program. All students are assigned a mentor to guide and support them through their college experience. In addition, a network of social service agencies and professional organizations are available to assist students with critical needs that may arise during their college years. This is a Last Dollar scholarship – students must access all other potential sources of financial aid first. The scholarship will cover tuition and room &amp; board expenses that are not already covered by other financial aid, up to $10k per year, per student. The scholars partnership board consisting of prominent members representing the diversity of our community will review all applications and interview the chosen applicants. After interviews the board will select the new scholars.",Scholarship Program The Viner Community Scholarship,https://vinerscholars.org/scholarship-program/#fouryearscholarship,Viner Scholars - Four Year Scholarship,,viner-scholars-four-year-scholarship.txt
award,0.95,Four Year Scholarship,Viner Scholars,,,,"March 8th, 2026","December 8th, 2025",3.0,4.0,,,,,,,open,county,90,True,,,,True,,,True,True,"[""Palm Beach County""]",[],[],[],"[""community service""]",[],"[""Florida public college or university""]","[""U.S. citizen or have the necessary legal documentation to reside and study in the United States""]",[],"[""high school senior""]","[""attending one of our partner community high schools in Palm Beach County""]",[],"Four Year Scholarship Requirements: High school SENIOR who attends one of our partner community high schools in Palm Beach County Non-weighted cumulative GPA of 3.0 or above Demonstrates financial need 100 + hours of community service or have worked during high school Must be attending Florida public college or university Must be either a U.S. citizen or have the necessary legal documentation to reside and study in the United States HOW TO APPLY: Complete the scholarship application using the link on our homepage or the link below You do not need to complete in one sitting. The application saves your progress as you complete the steps, allowing you to login and out of the application The earlier you try to complete the application, the easier it is for us to notify you if something is missing. The application requires you to answer basic questions and a few more in depth questions for us to better get to know you. You will also be required to upload the following: A copy of completed FAFSA Submission Report and a copy of the first page (form 1040) of your parents&#8217; most recent tax return to demonstrate financial need. A copy of SAT/ACT score sheet A copy of your college acceptance letter from the Florida public university or college you plan on attending You must also ask your guidance counselor to email your high school transcript to info@vinerscholars.org. Apply Here! Application Period: December 8th, 2025 &#8211; to March 8th, 2026",Four Year Scholarship,https://vinerscholars.org/scholarship-program/#fouryearscholarship,Viner Scholars - Four Year Scholarship,,viner-scholars-four-year-scholarship.txt
award,0.85,Technical College Scholarship,Viner Scholars,,,,"March 8, 2026","January 22, 2026",,,,,,,,,,school,,,,,,,,,,,[],[],"[""American Heritage High School"", ""Atlantic Community High School"", ""Boca Raton Community High School"", ""Boynton Beach Community High School"", ""Donna Klein Jewish Academy"", ""Dr. Joaqu\u00edn Garcia Community High School"", ""Inlet Grove Community High School"", ""Katz Yeshiva High School"", ""Olympic Heights Community High School"", ""Saint John Paul II High School"", ""Spanish River Community High School"", ""Suncoast Community High School"", ""Village Academy of Delray"", ""West Boca Raton Community High School""]",[],[],[],[],[],[],[],[],[],"Technical College Scholarship Application Application Period: January 22, 2026 &#8211; March 8, 2026 High School Partners American Heritage High School Atlantic Community High School Boca Raton Community High School Boynton Beach Community High School Donna Klein Jewish Academy Dr. Joaquín Garcia Community High School Inlet Grove Community High School Katz Yeshiva High School Olympic Heights Community High School Saint John Paul II High School Spanish River Community High School Suncoast Community High School Village Academy of Delray West Boca Raton Community High School Current Scholars' Requirements and",College Scholarship,https://vinerscholars.org/scholarship-program/#fouryearscholarship,Viner Scholars - Four Year Scholarship,,viner-scholars-four-year-scholarship.txt
award,0.95,Environment Award,Coral Springs Garden Club,1000,1000,,,,3.0,4.0,,,,,,,,county,,True,True,,,True,,,,,"[""Broward""]",[],[],"[""Agriculture Education"", ""Horticulture"", ""Landscape Design"", ""Landscape Architecture"", ""Conservation"", ""Botany"", ""Habitat of Forestry/Systems Ecology"", ""City Planning"", ""Green Design Architecture"", ""Marine Biology"", ""Wildlife Science"", ""Ecology"", ""Meteorology"", ""Climate Action Global Warming"", ""Air Quality Conservation"", ""Endangered Species Protection""]",[],[],"[""two or four year Florida College or University""]",[],[],"[""High School Senior""]",[],[],"Environment Award” A $1000 scholarship and award is offered to a deserving Broward county High School Senior. Requirements include a 3.0 GPA weighted cumulative average, to be seeking a major in an environmental science such as Agriculture Education, Horticulture, Landscape Design, Landscape Architecture, ASLA, Conservation, Botany, Habitat of Forestry/Systems Ecology, City (rural and urban) Planning, Green Design Architecture, Marine Biology, Wildlife Science, Ecology, Meteorology, Climate Action Global Warming, Air Quality Conservation, Endangered Species Protection, or a related subject at a two or four year Florida College or University and having financial need. Download:",Environment Award,https://coralspringsgardenclub.org/scholarships/,Women at the Well Broward scholarships - Garden Club Scholarship,,women-at-the-well-broward-scholarships-garden-club-scholarsh.txt
award,0.95,Land Award,Coral Springs Garden Club,1000,1000,,,,3.0,4.0,,,,,,,,county,,True,True,,,,,,,,"[""Broward""]",[],[],"[""Horticulture"", ""Floriculture"", ""Botany"", ""Agronomy"", ""Plant Biology"", ""Pathology"", ""Ecology"", ""Forestry"", ""Park Naturalist"", ""Silviculture"", ""Landscape Architecture"", ""Arboriculture"", ""Nursery and Greenhouse Management"", ""Habitat Restoration"", ""Urban and Regional Planning"", ""Viticulture""]",[],[],"[""two year Florida College or University"", ""four year Florida College or University""]",[],[],"[""High School Senior""]",[],[],"Land Award” A $1000 scholarship and award is offered to a deserving Broward county High School Senior. Requirements include a 3.0 GPA weighted cumulative average, to be seeking a major in the science of horticulture such as Horticulture, Floriculture, Botany, Agronomy (soil &amp; organic food), Plant Biology and Pathology, Ecology, Forester, Park Naturalist, Silviculturist (forest) Landscape Architect, ASLA, Arborist, Nursery and Greenhouse Management, Habitat Restoration Specialist, Urban and Regional Planner, Viticulturist (for wineries) or a related subject at a two or four year Florida College or University and having financial need. Download:",Land Award,https://coralspringsgardenclub.org/scholarships/,Women at the Well Broward scholarships - Garden Club Scholarship,,women-at-the-well-broward-scholarships-garden-club-scholarsh.txt
award,0.95,Marcy Di Mare College Scholarship,Coral Springs Garden Club,1000,1000,,,,3.0,4.0,,,,,,,open,county,60,,True,,,True,,,True,,"[""Broward""]",[],[],"[""agriculture"", ""biology"", ""botany"", ""conservation"", ""ecology"", ""forestry"", ""horticulture"", ""landscape design"", ""landscape architecture"", ""city planning""]",[],[],"[""full-time""]","[""US citizen""]",[],"[""sophomore"", ""junior"", ""senior"", ""graduate""]","[""full-time""]","[""College or University in Florida""]","Download Application The Marcy Di Mare College Scholarship A $1000 scholarship and award is offered to a deserving full-time sophomore, junior, senior, or graduate student. The student must be a resident of Broward county, a US citizen, and attending a College or University in Florida. Requirements include a minimum 3.0 GPA cumulative average. Major course of study should be in the following areas: agriculture, biology, botany, conservation, ecology, forestry, horticulture, landscape design/architecture, city planning or related field. Download:",Application The Marcy Di Mare College Scholarship,https://coralspringsgardenclub.org/scholarships/,Women at the Well Broward scholarships - Garden Club Scholarship,,women-at-the-well-broward-scholarships-garden-club-scholarsh.txt
award,0.85,The Joe Francis Haircare Scholarship,Southern Scholarship Foundation,,,,June 1st,,,,,,,,,,,,,,,,,,,,,,[],[],[],"[""Cosmetology""]",[],[],[],[],[],[],[],[],"Southern Scholarship Foundation The Joe Francis Haircare Scholarship Foundation Applications are due June 1st. Submission of the online application is preferred, a however, if students experience great hardship in sourcing a computer, Joe Francis still offer a PDF version of the application to print and submit by mail. Students may request by email: contact@joefrancis.com or by calling 651.769.1757. Postmark deadline for mailed applications is June 1st. Apply for the Cosmetology or",Southern Scholarship Foundation The Joe Francis Haircare Scholarship,https://watwbroward.org/scholarships/,Women at the Well Broward scholarships - Scholarships,,women-at-the-well-broward-scholarships-scholarships.txt
award,0.95,M. Hildred Blewett Fellowship,Women at the Well Broward,,45000,,,,,,female,,,,,,,,,,,,,,,,,,[],[],[],"[""physics""]",[],[],[],[],[],[],[],[],"M. Hildred Blewett Fellowship To enable women to return to physics research careers after having had to interrupt those careers. The fellowship consists of a one-year award of up to $45,000. Allowed expenses include dependent care (limited to 50% of the award), salary, travel, equipment, and tuition and fees. Overhead charges by the institution are not allowed.",M. Hildred Blewett Fellowship,https://watwbroward.org/scholarships/,Women at the Well Broward scholarships - Scholarships,,women-at-the-well-broward-scholarships-scholarships.txt
award,0.95,Science Ambassador Scholarship,Women at the Well Broward,15000,15000,,,,,,female,,,,4,,open,,20,,True,,,,,,,True,[],[],[],"[""science"", ""engineering"", ""mathematics""]",[],[],"[""undergraduate""]",[],[],[],[],[],"Science Ambassador Scholarship is a $15,000 award to provide full tuition coverage for up to four years of study. Candidate must be a woman seeking an undergraduate degree in science, engineering or mathematics. Applicant must submit a video of herself explaining a topic in science she is passionate about. UNCF SCHOLARSHIPS, PROGRAMS, INTERNSHIPS, AND FELLOWSHIPS UNCF has helped more than 445,000 students graduate from college. UNCF is the nation’s largest private scholarship provider to minority group members. Each year, they award more than $100 million in scholarships to more than 10,000 students at more than 1,100 schools across the country, including their prestigious network of 37 HBCUs . Keep in mind that many UNCF scholarships require that you apply for financial aid. The best way to do so is by completing the Free Application for Federal Student Aid (FAFSA). For more information, click here . Click here to apply for",Science Ambassador Scholarship,https://watwbroward.org/scholarships/,Women at the Well Broward scholarships - Scholarships,,women-at-the-well-broward-scholarships-scholarships.txt
award,0.92,Miami-Dade County Fair and Exposition High School Scholarships,Miami Dade County Fair & Exposition,1000,1000,,01/15,,3.0,4.0,,,,,,,open,county,,,True,,,,,,,,"[""Miami-Dade County""]",[],[],[],[],[],"[""accredited college"", ""university"", ""M-DCPS certified adult/vocational school""]",[],[],"[""graduating high school seniors""]",[],[],"Name Amount Awarded Deadline Requirements College Board Big Future Scholarship If you are an eligible $500 scholarship and an additional chance to win a $40,000 scholarship. (50) The Miami-Dade County Fair and Exposition High School Scholarships $1,000 01/15 Miami-Dade County graduating high school seniors with a minimum 3.0 cumulative GPA and planning to attend an accredited college, university or M-DCPS certified adult/vocational school. You may only be a recipient/winner of a fair scholarship once. Miami Dade County Fair & Exposition Alternative Education Scholarships",Exposition High School Scholarships,https://varelahighschool.net/wp-content/uploads/2026/01/Scholarship-Bulletin-January-2026-1.pdf,Felix Varela Senior High - Scholarship Bulletin January 2026,Miami-Dade,miami-dade--felix-varela-senior-high-scholarship-bulletin-january-2026.txt
award,0.95,The Coca-Cola Scholars Program Scholarship,The Coca-Cola Company,20000,20000,,9/30,,3.0,4.0,,,,,,,open,national,,,True,,,,,,,,[],[],[],[],[],[],"[""accredited U.S. college or university""]","[""U.S. Citizens"", ""U.S. Nationals"", ""U.S. Permanent Residents"", ""Refugees"", ""Asylees"", ""Cuban-Haitian Entrants"", ""Humanitarian Parolees""]",[],"[""high school seniors""]","[""high school seniors"", ""Current high school/home-schooled students""]",[],"Name Amount Awarded Deadline Requirements College Board Big Future Scholarship If you are an eligible $500 scholarship and an additional chance to win a $40,000 scholarship. (50) Questbridge National Match Scholarship The Match Scholarship is offered as part of a generous financial aid package provided by the college that covers the cost of attendance, including:- Tuition and fees- Housing and food- Books and supplies- Travel expenses 09/26 - U.S. Citizens and Permanent Residents or students, regardless of citizenship, currently attending high school in the United States.- Primarily A's in the most challenging courses available (usually including Honors, AP, and/or IB level courses).- Top 5-10% of your graduating class.- SAT or PSAT scores > 1290.- ACT composite score > 28.- Look for evidence of strong writing ability, intellectual spark, and determination through essays and teacher/counselor recommendations.- Finalists typically come from households earning less than $65,000 annually for a family of four, and often less. The Coca- Cola Scholars Program Scholarship $20,000 9/30 Applicants must be: - High school seniors with a minimum 3.0 unweighted GPA may apply. - Current high school/home-schooled students attending school in one of the 50 U.S. states. - U.S. Citizens (not Temporary Residents), U.S. Nationals, U.S. Permanent Residents, Refugees, Asylees, Cuban- Haitian Entrants, OR Humanitarian Parolees - based on the guidelines utilized by U.S. Department of Education for Federal Financial Aid eligibility - Expecting to receive high school diploma during current academic year - Planning to pursue a degree at an accredited U.S. college or university Don't Text and Drive Scholarship",The Coca- Cola Scholars Program Scholarship,https://varelahighschool.net/wp-content/uploads/2025/09/Scholarship-Bulletin-September-2025-revised.pdf,Felix Varela Senior High - Scholarship Bulletin September 2025,Miami-Dade,miami-dade--felix-varela-senior-high-scholarship-bulletin-september-2025.txt
award,0.92,Silver Knight Awards,Miami Herald,,,,"October 11, 2025",October 2024,3.2,4.0,,,,,,,nomination_only,county,480,,True,,,True,,,True,,"[""Miami-Dade""]",[],"[""MAST Academy""]",[],[],[],[],[],[],"[""2025""]",[],[],"Silver Knight Awards ceremony. *IMPORTANT DATES AND DEADLINES* CLASS OF 2025 October 2024 Candidates must end first Quarter with at least a 3.2 GPA (unweighted). Candidates finalize service projects and hours. Candidates collect Supporting Documents (min 6 pages, max 12 pages). Candidates start Nominee Application Form. November 2024 – December 2024 Candidates finalize Nominee Application Form. Nominees seek feedback Nominees are selected and confirmed. (Email notification.) January 2025 Nominees submit and lock final Application Form to the Miami Herald online. Nominees must end first Semester with at least a 3.2 GPA (unweighted). Nominees compile hard copies of Application Form and Supporting Documents and review with Coordinator, referring closely to the checklist. Coordinator delivers hard copies of Application Form and Supporting Documents on behalf of all Nominees. February 2025 - April 2025 Nominees prepare for interviews Nominees are interviewed by a panel of experts in their category (March). Tentative interview date for Miami-Dade Nominees. May 2025 Formal awards ceremony for all nominees, families and friends. *Some specific dates are pending . CLICK HERE FOR PRELIMINARY APPLICATION (DUE OCTOBER 11, 2025) MAST Academy 3979 Rickenbacker Causeway Miami, FL 33149 P: (305) 365-6278 F: (305) 361-0996 facebook facebook2 x X instagram instagram WEB ACCESSIBILITY STATEMENT Copyright © 2025-2026 MAST Academy. All rights reserved.",Silver Knight Awards,http://www.gomakos.net/college-assistance-program/,MAST Academy,Miami-Dade,miami-dade--mast-academy.txt
award,0.95,Machen Florida Opportunity Scholarship,University of Florida,,,,,,,,,,,55000,,,open,school,,True,,True,,,,,,True,[],[],[],[],[],[],"[""University of Florida""]",[],[],"[""first-year""]",[],"[""University of Florida""]","The Machen Florida Opportunity Scholarship (MFOS) assists historically low-income first-generation college students in meeting their college costs. First-generation in college is defined as neither of the student&#8217;s parents or legal guardians have earned a bachelor’s degree. The MFOS program provides recipients a full grant and scholarship package , up to financial need, to earn a bachelor’s degree at the University of Florida. You will also receive mentorship and comprehensive support programming to provide you with a positive and successful student experience at the University of Florida. Who is eligible? Students must be admitted into the University of Florida as a first-year student. Students are selected based on the information provided on the UF Admission Application and Free Application for Federal Student Aid (FAFSA). Beginning in the 2022-2023 academic year, for a student to be eligible, parents’, stepparents’, or legal guardians’ combined total income be below $55,000; parents’, stepparents’, or legal guardians’ assets must be below $35,000. To receive this scholarship, potentially eligible students will need to: Log into ONE.UF with your Gatorlink and password View your full aid package at ONE.UF In the new window that appears, check your “To-Dos” under “Action Items” For more information about the",Machen Florida Opportunity Scholarship,https://www.sfa.ufl.edu/mfos/,Miami Coral Park Senior High - UF - Machen Florida Opportunity Scholarship,Miami-Dade,miami-dade--miami-coral-park-senior-high-uf-machen-florida-opportunity-s.txt
award,0.95,Florida Bright Futures Scholarship Program Florida Gold Seal Vocational Scholars (GSV),Florida Department of Education,,,,August 31,,3.0,4.0,,,,,,,open,state,,,True,,,True,,,True,,[],[],[],[],"[""volunteer service"", ""paid work""]",[],[],[],[],[],[],[],"Florida Bright Futures Scholarship Program Florida Gold Seal Vocational Scholars (GSV) 2025-26 Initial Eligibility Requirements: (As determined by the Florida Department of Education.) 1. Submit the Florida Financial Aid Application (FFAA) no later than August 31 after high school graduation. 2. Graduate with a standard Florida high school diploma or its equivalent. 3. Achieve the required weighted 3.0 GPA in the non-elective high school courses. 4. Completes at least three (3) full Career and Technical Education credits 5. Achieve the required minimum 3.5 unweighted GPA in Career and Technical Education credits. 6. Complete at least 30 volunteer service hours, 100 paid work hours, or a combination that equals a minimum of 100 total hours. For students entering grade 9 in the 2024-2025 school year and thereafter, 75 hours of volunteer service must be completed. 7. Achieve the required minimum scores on one of the college entrance exams per the chart below no later than August 31 of the year the student graduates from high school. Exam Type Sub-test Required Score ACT® Reading 19 English 17 Mathematics 19 SAT® (March 1, 2024, and thereafter) Critical Reading or Evidence- Based Reading and Writing 490 Mathematics 480 SAT® (Prior to March 1, 2024) Reading 24 Writing and Language 25 Math Test 24 PERT (Only applies to the",Florida Bright Futures Scholarship,https://www.floridastudentfinancialaidsg.org/PDF/GSV.pdf,Young Women's Preparatory Academy - Florida Bright Futures Scholars - Vocational Scholars,Miami-Dade,miami-dade--young-women-s-preparatory-academy-florida-bright-futures-sch.txt
award,0.85,Palm Health Foundation Scholarships,Palm Health Foundation,,,100,"February 1st, 2026","November 1st, 2025",,,,,,,,,open,county,,True,,,,True,,,,,"[""Broward County""]",[],[],[],[],[],[],[],[],"[""2026""]","[""high school seniors""]",[],"Palm Health Foundation Scholarships Graduate Scholarships Over 100 Scholarships Coming to Broward County! Apply Here! We are excited to announce our plans to offer over 100 scholarships in Broward County to the graduating senior class of 2026! Qualified candidates must be high school seniors with financial need from a Broward County-based high school. Applications Available: November 1 st , 2025 – February 1 st , 2026 Please share with anyone who qualifies! Stay in the Loop! Want to be the first to know about new scholarship opportunities at the",Palm Health Foundation Scholarships Graduate Scholarships,https://scholarship.org/browardscholarships/,George Snow Broward scholarships,Broward,broward--george-snow-broward-scholarships.txt
award,0.95,Annual Palm Beach County Property Appraiser's Scholarships,Palm Beach County Property Appraiser's Office,1500,1500,6,"March 31, 2026",,3.0,4.0,,,,,,,open,county,,,True,,,True,,,,,"[""Palm Beach County""]",[],[],[],[],[],"[""accredited college or university""]",[],[],"[""graduating high school seniors""]",[],[],"Annual Palm Beach County Property Appraiser’s Scholarships , announced Property Appraiser Dorothy Jacks, CFA, AAS. Six college scholarships of $1,500 each will be awarded to graduating Palm Beach County high school seniors who plan to attend an accredited higher-education institution full time, regardless of intended major or field of study. Each scholarship recipient will also be offered the opportunity to participate in a paid summer internship with the Property Appraiser’s Office. “These scholarships are funded entirely through voluntary employee donations, which makes this program especially meaningful,” said Jacks. “It reflects the generosity of our staff and their shared commitment to investing in the future of Palm Beach County.” “The paid internship component allows students to gain hands-on experience and learn more about public service and property valuation,” Jacks added. “It’s an opportunity to explore a professional field that plays an important role in every community.” To be eligible, applicants must be Palm Beach County residents , have a minimum 3.0 GPA , and plan to attend an accredited college or university. The application deadline is March 31, 2026 . Since 1994, the Palm Beach County Property Appraiser’s Office has awarded $188,000 in college scholarships to local students. For more information, call 561.355.3230 or email PA-MyScholarship@pbcpao.gov. Scholarship Application (PDF)» --> Departments Agricultural Appraisal Commercial Appraisal Community Outreach Condominium Appraisal Data Requests &mdash; Public Services Exemption Services Ownership Records &mdash; Deed Processing deptartment link"">Geographical Information Systems (GIS) Ownership Records &mdash; Deed Processing Human Resources Residential Appraisal Tangible Personal Property Quick Links Homestead Exemption E File Tangible Personal Property E File Mailing Address Change Form Property Tax Calculator Portability Calculator Data Requests Tax Roll Information Government Links Palm Beach County Tax Collector Palm Beach County Government Palm Beach County Planning, Zoning &amp; Building Clerk of the Circuit Court &amp; Comptroller Palm Beach County Supervisor of Elections Palm Beach Co",Annual Palm Beach County Property Appraiser’s Scholarships,https://pbcpao.gov/scholarship-awards.htm,Palm Beach County Property Appraiser scholarship awards,Palm Beach,palm-beach--palm-beach-county-property-appraiser-scholarship-awards.txt
award,0.92,Robert S. Jaegers Memorial Academic Scholarship,Rotary Club,2000,2000,,,,,,,,,,4,,,,,,True,,,,True,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Robert S. Jaegers Memorial Academic Scholarship for $2,000 which may be renewed up to four consecutive years. The scholarship is awarded to the student who best epitomizes the Rotary Club motto of &ldquo;Service Above Self&rdquo; Click Here to Learn More Eda &amp; Cliff",Robert S. Jaegers Memorial Academic Scholarship,https://soafi.org/scholarship-resources,School of the Arts Foundation (Dreyfoos) scholarship resources,Palm Beach,palm-beach--school-of-the-arts-foundation-dreyfoos-scholarship-resources.txt
award,0.95,Coca-Cola Scholars Program Scholarship,Coca-Cola Scholars Foundation,20000,20000,150,,,,,,,,,,,open,national,,,True,,,,,,,,[],[],[],[],[],[],[],[],[],"[""final year of high school""]",[],[],"Coca-Cola Scholars Program Scholarship Click Here to Apply Overview: The Coca-Cola Scholars Program scholarship is an achievement-based scholarship awarded to students in their final year of high school. Students are recognized for their capacity to lead and serve, as well as their commitment to making a significant impact on their schools and communities. With the 35th class in 2023 , the Foundation has provided over 6,750 Coca-Cola Scholars with more than $81 million in educational support. 150 Coca-Cola Scholars are selected each year to receive this $20,000 scholarship.",Coca-Cola Scholars Program Scholarship,https://soafi.org/scholarship-resources,School of the Arts Foundation (Dreyfoos) scholarship resources,Palm Beach,palm-beach--school-of-the-arts-foundation-dreyfoos-scholarship-resources.txt
award,0.95,Jackie Robinson Foundation Scholarship,Jackie Robinson Foundation,,,,,,,,,,,,,,open,,,True,,,,,,,,,[],[],[],[],"[""community service""]",[],[],[],"[""minority""]","[""senior""]",[],[],"Jackie Robinson Foundation Scholarship Click Here to Apply Overview: The Jackie Robinson Foundation provides a multi-faceted experience designed to not only address the financial needs of students who aspire to attend college but to guide them through the process of higher education. $35,000 over 4 years for minority seniors with financial need and community service.",Jackie Robinson Foundation Scholarship,https://soafi.org/scholarship-resources,School of the Arts Foundation (Dreyfoos) scholarship resources,Palm Beach,palm-beach--school-of-the-arts-foundation-dreyfoos-scholarship-resources.txt
award,0.95,Broward Education Foundation Scholarship,Broward Education Foundation,,,,"April 1, 2026",November 1st,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Broward Education Foundation Scholarship Application Start Application Step 2 Checklist, Release Forms, Required Documents Submit & Upload Important Deadlines: Online Applications Open November 1st. Application Deadline: April 1, 2026. All hard copies must be received by April 1, 2026 to be considered for a scholarship. Financial Aid Support uAspire is partnering with Broward Education Foundation to provide a Free Financial Aid Helpdesk. Text in your financial aid questions and receive a response within 24 business hours. uAspire will be hosting a live webinar to provide students and families with information and support on how to fill out the FAFSA on Wednesday, March 26.",Broward Education Foundation Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.95,NextEra Energy Scholarship,Florida Power & Light Company,,20000,10,"May 25, 2026",,,,,,,,,,open,state,,,,,,True,,,,,[],[],[],[],"[""SECME (Science, Engineering, Communication, Mathematics, and Enrichment)""]",[],[],[],[],"[""graduating high school seniors""]",[],[],"Additional Scholarship Opportunities NextEra Energy Scholarship for Students in SECME As part of Florida Power &amp; Light Company's commitment to STEM education, they will award 10 graduating high school seniors who have at least one year of experience in SECME (Science, Engineering, Communication, Mathematics, and Enrichment) with a scholarship up to $20,000. Online Application Deadline: May 25, 2026 Apply Now William T. Hennessey,",Scholarship Opportunities NextEra Energy Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.85,Jr. Scholarship,Broward Education Foundation,,,,"April 1, 2026",,,,,,,,,,,county,,,,,,,,,,,"[""Broward County""]",[],[],"[""technology related field""]",[],[],[],[],[],"[""12th grade""]",[],[],"Jr. Scholarship, established to support a 12th grade Broward County Public School student with an intended major in a technology related field. Online Application Deadline: April 1, 2026",Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.95,Marlene Methelis Memorial Art Scholarship,Broward Education Foundation,,,,"March 15, 2026","November 1, 2026",,,,,,,,,open,county,,,,,,,,,,,"[""Broward County""]",[],[],"[""photography"", ""sculpting"", ""ceramics"", ""fashion design"", ""painting"", ""drawing"", ""graphical arts""]",[],[],"[""Fine Arts""]",[],[],"[""graduating seniors""]",[],[],"Apply Now Marlene Methelis Memorial Art Scholarship Eligible- Interest in Fine Arts. Open November 1, 2026 - Online Application Deadline: March 15, 2026. The parents of Marlene Methelis, Marjorie and Alan Methelis established a scholarship in loving memory of their daughter Marlene who tragically lost her life in an automobile accident. This award, in Marlene's memory, is being offered to Broward County graduating seniors whose post-secondary plans include furthering their education in the areas of Fine Arts: photography, sculpting, ceramics, fashion design, painting and drawing as well as graphical arts. Open November 1, 2026 - Online Application Deadline: March 15, 2026 Apply Now City of",Now Marlene Methelis Memorial Art Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.85,Sunrise's Outstanding Citizen Scholarship,Broward Education Foundation,,,,"April 1, 2026","November 1, 2025",,,,,,,,,,city,,,,,,True,,,,,[],"[""Sunrise""]",[],[],[],[],[],[],[],[],[],[],"Sunrise’s Outstanding Citizen Scholarship Application -Apply now – Eligible- Sunrise resident. Open November 1, 2025 – Online Application Deadline: April 1, 2026 Apply Now iCoast CIO Council of",Sunrise’s Outstanding Citizen Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.92,South Florida Technology Scholarship,Broward Education Foundation,,,,"March 15, 2026","November 1, 2025",,,,,,,,,open,,,,,,,,,,,,[],[],[],"[""technology"", ""innovation""]",[],[],[],[],[],[],[],[],"South Florida Technology Scholarship Eligible- Interest in Tech. Supporting students pursuing careers in technology and innovation. Open November 1, 2025- Online Application Deadline: March 15, 2026",South Florida Technology Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.85,Sprouting Scholar Award,Broward Education Foundation,,,,"April 1, 2026","November 1, 2025",,,,,,,,,open,,,True,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Application Sprouting Scholar Award Application – Eligible- Financial Need Open November 1, 2025 – Online Application Deadline: April 1, 2026",Application Sprouting Scholar Award,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.85,Rhodes Foundation Scholarship Fund,Broward Education Foundation,,,,"April 1, 2026","November 1, 2025",,,,,,,,,,county,,,,,,,,,,,"[""Broward"", ""Palm Beach"", ""Miami-Dade""]",[],[],[],[],[],[],[],[],[],[],[],"Rhodes Foundation Scholarship Fund Open November 1, 2025 – Online Application Deadline: April 1, 2026. Apply Now BBA Financial Literacy Essay Contest We’re now accepting essay contest submissions from students in Broward, Palm Beach, and Miami-Dade counties. Application Window Closed - 2027 Contest Dates to be",Rhodes Foundation Scholarship Fund,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
award,0.95,Cooke Foundation's Undergraduate Transfer Scholarship,Cooke Foundation,55000,55000,,,,,,,,,,,,,,,,True,,,,,,,,[],[],[],[],[],[],[],[],[],[],"[""community college students""]",[],"The Cooke Foundation’s Undergraduate Transfer Scholarship provides high-performing community college students with up to $55,000 per year to complete their bachelor’s degree upon transferring to a four-year college or university. Cooke Transfer Scholars also receive educational advising and support as they transfer to their new campus and join the Cooke Scholar network. View Details American Association of Blacks in Energy American Association of Blacks in Energy (AABE) National &amp;",Cooke Foundation’s Undergraduate Transfer Scholarship,https://browardedfoundation.org/apply/,Broward Education Foundation apply,Broward,broward--broward-education-foundation-apply.txt
